PIs,Institution,Project/Module,Overview,Status (collection),Status (analysis),Parameters measured,Analysis being conducted,Sampling date: Start,Sampling date: End,Sampling area: Region,Sample type,Sampling area: Points/geometry,Notes
Gregory Rouse,SIO,"DDT Uptake, Accumulation, and Redistribution by Seafloor Animals",Identify benthic invertebrates in the San Pedro Basin near Dumpsite 2 ,Completed,In progress,Benthic invertebrates,Genetic and morphological identification,3/6/2023,3/7/2023,"San Pedro Basin, vicinity of Dumpsite 2",Points,"(33.64577, -118.33188), (33.5741, -118.37767), (33.5309, -118.37813), (33.51323, -118.43515), (33.48525, -118.37788), (33.45665, -118.31937), (33.50327, -118.31705), (33.54673, -118.3169), (33.60162, -118.43277), (33.65075, -118.43275), (33.67578, -118.48618), (33.65092, -118.54208), (33.7021, -118.5424), (33.7466, -118.54008), (33.71983, -118.48475), (33.69458, -118.43578), (33.66658, -118.37513)",Benthic invertebrate specimens from multicores collected on R/V Yellowfin cruise led by David Valentine; points represent 17 stations
"Gregory Rouse, Lisa Levin, Carlos Neira",SIO,"DDT Uptake, Accumulation, and Redistribution by Seafloor Animals","Characterize the identity, density, diversity, and distributions of benthic animals at Dumpsite 2",Completed,In progress,Benthic invertebrates,"Genetic and morphological identification (Rouse); statistical analyses of density, community structure, and diversity (Levin, Neira); DDX analysis (Levin, Neira)",8/3/2021,8/4/2021,Dumpsite 2,Points,"(33.5765, -118.43484), (33.57361, -118.43607), (33.57362, -118.43605), (33.5736, -118.43676), (33.57051, -118.43687), (33.57397, -118.43105), (33.56607, -118.42566), (33.56587, -118.42758), (33.56587, -118.42761), (33.56602, -118.42426), (33.57734, -118.4353)","Benthic invertebrate specimens and sediment cores collected with ROV Subastian on R/V Falkor cruise FK210726 led by Lisa Levin (chief scientist), Greg Rouse, Paul Jensen, Kira Mizell; points represent 11 sampling events on two dives (S0450, S0451)"
"Carlos Neira, Lisa Levin",SIO,"DDT Uptake, Accumulation, and Redistribution by Seafloor Animals",Analysis of sediment properties in pushcores collected at varying distance from barrels in San Pedro Basin,Completed,Mostly completed,"sediment: organic matter, sediment: chlorophyll, sediment: grain size, sediment: pigments","sediment grain size (silt-clay/sand), water content and porosity, organic matter content (TOM by combustion), TOC, TN, sediment chlor a and phaeopigments (CPE)",8/3/2021,8/4/2021,"San Pedro Basin, vicinity of Dumpsite 2",Points,"(33.5774, -118.4353), (33.57765, -118.4361), (33.5736, -118.4360), (33.5660, -118.4243), (33.5661, -118.4257), (33.5661, -118.4263), (33.5659, -118.4276)",
"Carlos Neira, Lisa Levin",SIO,"DDT Uptake, Accumulation, and Redistribution by Seafloor Animals","Analysis of contaminant in sediments in 0-2, 2-4, 4-6, 6-8 8-10 cm vertical fractions and in selected animals from barrels",Completed,Completed,"DDT, PCB, PAH","DDX (DDT, DDD, DDE, DCMU); PAH, PCB",8/3/2021,8/4/2021,"San Pedro Basin, vicinity of Dumpsite 2",Points ,"(33.5774, -118.4353), (33.57765, -118.4361), (33.5736, -118.4360), (33.5660, -118.4243), (33.5661, -118.4257), (33.5661, -118.4263), (33.5659, -118.4276)",
"Lihini Aluwihare, Anela Choy, Eunha Hoh","SIO, SDSU",“Fingerprint” DDT Chemistry: Identifying the chemical fingerprint of DDT sludge from Dumpsite2,Characterize the chemical fingerprint of DDT from sediments and examine transport into water column food web using preliminary samples of particles and deep biota,"Completed (pilot, opportunistic collections)",Mostly completed,"sediment, particles, deep biota","DDX, PCBs, Stable C & N isotopes; Non-targeted contaminant analyses",06/2021,08/2021,"San Pedro Basin, vicinity of Dumpsite 2",Points,"(33.56708, -118.4253), (33.5958, -119.542595), (33.5579, -118.447195), (33.5774, -118.4353), (33.57765, -118.4361), (33.5736, -118.4360), (33.5660, -118.4243), (33.5661, -118.4257), (33.5661, -118.4263), (33.5659, -118.4276)",
Paul Jensen,SIO,Microbial Diversity in DDT polluted sediments,"Analyze microbial diversity in sediment communities in 0-2, 2-4, 4-6, 6-8 8-10 cm vertical fractions by amplicon sequencing and metagenomics",Completed,In progress,"microbial diversity and composition, genetic potential, microbial taxonomy","16S rRNA amplicon sequencing, metagenomics, KS amplicon sequencing",8/3/2021,8/4/2021,"San Pedro Basin, vicinity of Dumpsite 2",file,jensen-1.csv,"Benthic invertebrate specimens and sediment cores collected with ROV Subastian on R/V Falkor cruise FK210726 led by Lisa Levin (chief scientist), Greg Rouse, Paul Jensen, Kira Mizell; points represent 11 sampling events on 2 dives"
Brice Semmens,SIO,Maintaining confidence in CA seafood,Bio samples of recreational fish species for detecting presence/quantity of DDT,Completed,In progress,recreational fish,DDT+ non-targeted analysis,7/18/22,1/6/23,Southern California Bight,file,semmens-1.csv,"rec fish species (collected by PIER): barred sand bass, boccacio rockfish, california scorpionfish, chub mackerel, kelp bass, ocean whitefish, pacific bonito, pacific sanddab, vermillion rockfish, california barracuda, copper rockfish, gopher rockfish, longfin sanddab, olive rockfish, speckled sanddab, white croaker"
"Gregory Rouse, Lisa Levin, Carlos Neira",SIO,DDT Pollution in Animals from different sites across the Southern California Borderland,Characterize DDX concentrations in corals and sponges from outside the Dumpsite areas,Completed,Completed,"DDX (DDT, DDE, DDD, DDMU)","DDX (DDT, DDE, DDD, DDMU)","8, 2021","8, 2021",Southern California Bight,file,rouse-1.csv,"Benthic invertebrate specimens and sediment cores collected with ROV Subastian on R/V Falkor cruise FK210726 led by Lisa Levin (chief scientist), Greg Rouse, Paul Jensen, Kira Mizell;"
Brice Semmens,SIO,Maintaining confidence in CA seafood,Bio samples of mesopelagic fish species for detecting presence/quantity of DDT,Completed,In progress,mesopelagic fish,"DDX, PCBs, Stable C & N isotopes; Non-targeted contaminant analyses",1972,2022,Southern California Bight,file,semmens-2.csv,CalCOFI formalin preserved mesopelagic fish (Stenobrachius leucopsarus)
David Valentine,UCSB,Spatial and depth-resolved distribution of DDX in San Pedro Basin,Characterizing depth resolved and integrated DDX concentrations within San Pedro Basin by grid sampling and two transect sampling expeditions ,Completed,In progress,sediment,"DDX (2,4'- and 4,4'- isomers of DDT, DDE, and DDD), non-targeted contaminant analysis, CHN abundance, 14-C dating, Cs-Pb dating, stable C and N isotopes ",11/07/2022,3/8/2023,San Pedro Basin,file,valentine-1.csv,
"Uwe Send, Sarah Gille",SIO,"DDT transfer rates and exposure in near-bottom waters in the San Pedro Basin","Assessing sediment disturbance, turbidity, sediment transport and implications for ecosystem exposure",Planned,Planned,"sediment: suspended, polyethylene passive sampler device (PED), water samples","DDX from suspended sediment and PED, (plus temperature, salinity, oxygen, current speed)",October 2023,March 2024,San Pedro Basin,Points,"(33.600903, -118.462050)","time series, 6 month deployment, 48 water samples 5 m above bottom"														
