"","ID","Bin","MWR","Vessel","Landing","Date","CommonName","SciName","Loc","Zone","Lat_DM","lat_dec","Long_DM","lon_dec","Depth_ft","Depth_m","FL","TL","WetWt","WtCalc","WC_males","WC_fem","Notes"
"1",1,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Terra Mar Kelp","33°07.541",33.1256833,"117°20.367",-117.33945,33,10.1,0,359,570,615,NA,NA,"***sample Numbers Are NOT always in Order*** "
"2",2,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Terra Mar Kelp","33°07.541",33.1256833,"117°20.367",-117.33945,33,10.1,0,361,580,627,NA,NA,""
"3",3,8,"","Southern Cal","Oceanside Sea Center","7/5/22","Ocean Whitefish","Caulolatilus princeps","Oceanside","Terra Mar Kelp","33°07.541",33.1256833,"117°20.367",-117.33945,33,10.1,0,318,340,347,NA,NA,""
"4",4,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Terra Mar Kelp","33°07.541",33.1256833,"117°20.367",-117.33945,33,10.1,0,364,590,644,NA,NA,""
"5",5,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Terra Mar Kelp","33°07.541",33.1256833,"117°20.367",-117.33945,33,10.1,0,363,570,638,NA,NA,""
"6",6,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Terra Mar Kelp","33°07.541",33.1256833,"117°20.367",-117.33945,33,10.1,0,345,520,540,NA,NA,""
"7",7,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Terra Mar Kelp","33°07.541",33.1256833,"117°20.367",-117.33945,33,10.1,0,346,550,545,NA,NA,""
"8",9,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Carlsbad Campgrounds","33°06.045",33.10075,"117°19.392",-117.3232,19,5.8,0,374,630,703,NA,NA,""
"9",10,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Carlsbad Campgrounds","33°06.045",33.10075,"117°19.392",-117.3232,19,5.8,0,365,590,650,NA,NA,""
"10",11,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Carlsbad Campgrounds","33°06.045",33.10075,"117°19.392",-117.3232,19,5.8,0,354,550,588,NA,NA,""
"11",12,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Carlsbad Campgrounds","33°06.045",33.10075,"117°19.392",-117.3232,19,5.8,0,374,650,703,NA,NA,""
"12",13,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Carlsbad Campgrounds","33°06.045",33.10075,"117°19.392",-117.3232,19,5.8,0,398,780,862,NA,NA,""
"13",14,15,"","Southern Cal","Oceanside Sea Center","7/5/22","Kelp Bass","Paralabrax clathratus","Oceanside","Carlsbad Campgrounds","33°06.045",33.10075,"117°19.392",-117.3232,19,5.8,0,359,570,615,NA,NA,""
"14",17,1,"","Southern Cal","Oceanside Sea Center","7/5/22","California Barracuda","Sphyraena argentea","Oceanside","Carlsbad Campgrounds","33°06.045",33.10075,"117°19.392",-117.3232,19,5.8,502,552,540,637,NA,NA,""
"15",18,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.128 ",33.0521333,"117°20.912",-117.34853,282,86,0,0,0,0,0,0,"head length was taken this trip for sanddabs #17-45 45mm"
"16",19,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.128 ",33.0521333,"117°20.912",-117.34853,282,86,0,0,0,0,0,0,"53mm"
"17",20,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.128 ",33.0521333,"117°20.912",-117.34853,282,86,0,0,0,0,0,0,"42mm"
"18",21,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.128 ",33.0521333,"117°20.912",-117.34853,282,86,0,0,0,0,0,0,"63mm"
"19",22,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.128 ",33.0521333,"117°20.912",-117.34853,282,86,0,0,0,0,0,0,"52mm"
"20",23,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.128 ",33.0521333,"117°20.912",-117.34853,282,86,0,0,0,0,0,0,"48mm"
"21",24,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.128 ",33.0521333,"117°20.912",-117.34853,282,86,0,0,0,0,0,0,"45mm"
"22",25,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.128 ",33.0521333,"117°20.912",-117.34853,282,86,0,0,0,0,0,0,"41mm"
"23",28,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,303,240,278,277,300,""
"24",29,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,461,1010,1017,1002,1006,""
"25",30,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,454,960,970,957,963,""
"26",31,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,316,280,316,316,339,""
"27",32,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,325,320,345,344,367,""
"28",33,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,326,320,348,347,371,""
"29",34,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,0,0,0,0,0,"49mm"
"30",35,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,0,0,0,0,0,"58mm"
"31",36,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,0,0,0,0,0,"45mm"
"32",37,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,311,270,301,300,324,""
"33",38,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,0,0,0,0,0,"31mm"
"34",39,9,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,0,0,0,0,0,"48mm"
"35",40,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,317,290,319,319,342,""
"36",41,16,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,442,890,893,881,891,""
"37",42,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,292,210,248,248,270,""
"38",43,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,296,220,258,258,281,""
"39",44,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Pacific Sanddab","Citharichthys sordidus","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,0,0,0,0,0,"53mm"
"40",46,10,"","Southern Cal","Oceanside Sea Center","7/7/22","Bocaccio Rockfish","Sebastes paucispinis","Oceanside","Devils Rock/Leacaudia","33°03.154",33.0525667,"117°20.969",-117.34948,282,86,0,326,320,348,347,371,""
"41",48,15,"RD Oct 15","Victory","Longbeach Sportfishing","7/18/22","Kelp Bass","Paralabrax clathratus","Los Angeles","Izor's Reef","33°38.8333",33.6472217,"118°06.1242",-118.10207,93,28.3,0,0,830,0,NA,NA,"in freezer but missing total length measurement"
"42",49,6,"RD Oct 15","Victory","Longbeach Sportfishing","7/18/22","Barred Sand Bass","Paralabrax nebulifer","Los Angeles","Izor's Reef","33°38.8333",33.6472217,"118°06.1242",-118.10207,93,28.3,0,324,480,447,NA,NA,""
"43",50,6,"RD Oct 15","Victory","Longbeach Sportfishing","7/18/22","Barred Sand Bass","Paralabrax nebulifer","Los Angeles","Izor's Reef","33°39.1522",33.6525367,"118°05.1199",-118.08533,81,24.7,0,376,860,710,NA,NA,""
"44",53,6,"RD Oct 15","Victory","Longbeach Sportfishing","7/18/22","Barred Sand Bass","Paralabrax nebulifer","Los Angeles","Izor's Reef","33°39.1522",33.6525367,"118°05.1199",-118.08533,81,24.7,0,322,450,438,NA,NA,""
"45",54,6,"RD Oct 15","Victory","Longbeach Sportfishing","7/18/22","Barred Sand Bass","Paralabrax nebulifer","Los Angeles","Izor's Reef","33°39.1522",33.6525367,"118°05.1199",-118.08533,81,24.7,0,412,910,944,NA,NA,"not labeled with sharpie in frezer but tag is visable"
"46",55,14,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","Izor's Reef","33°39.1522",33.6525367,"118°05.1199",-118.08533,81,24.7,0,306,510,NA,596,582,""
"47",56,14,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","Izor's Reef","33°39.1522",33.6525367,"118°05.1199",-118.08533,81,24.7,0,293,510,NA,524,510,""
"48",57,6,"RD Oct 15","Victory","Longbeach Sportfishing","7/18/22","Barred Sand Bass","Paralabrax nebulifer","Los Angeles","Izor's Reef","33°39.1522",33.6525367,"118°05.1199",-118.08533,81,24.7,0,353,570,583,NA,NA,""
"49",60,6,"RD Oct 15","Victory","Longbeach Sportfishing","7/18/22","Barred Sand Bass","Paralabrax nebulifer","Los Angeles","Izor's Reef","33°39.1522",33.6525367,"118°05.1199",-118.08533,81,24.7,0,363,600,636,NA,NA,""
"50",63,14,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","Izor's Reef","33°39.1522",33.6525367,"118°05.1199",-118.08533,81,24.7,0,274,530,NA,428,417,""
"51",64,16,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,287,230,235,235,257,""
"52",65,16,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,291,240,245,245,267,""
"53",66,10,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,335,390,379,377,401,""
"54",67,16,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,287,270,235,235,257,""
"55",69,16,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,328,360,355,354,377,""
"56",71,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,324,350,342,341,364,""
"57",72,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,293,260,250,250,273,""
