"Line","Sta","lat_dec","lon_dec","Name","Est.Depth","Sta.Type"
93.3,26.7,32.95637,-117.30538,"93.3 26.7",63,"ROS"
93.4,26.4,32.94905,-117.27357,"93.4 26.4",20,"SCCOOS"
91.7,26.4,33.2435,-117.46542,"91.7 26.4",20,"SCCOOS"
93.3,28,32.91304,-117.39438,"93.3 28",609,"ROS"
93.3,30,32.84637,-117.53122,"93.3 30",846,"ROS"
93.3,35,32.67971,-117.87286,"93.3 35",616,"ROS"
93.3,40,32.51304,-118.21386,"93.3 40",1627,"ROS"
93.3,45,32.34637,-118.55423,"93.3 45",1376,"ROS"
93.3,50,32.17971,-118.89396,"93.3 50",1452,"ROS"
93.3,55,32.01304,-119.23306,"93.3 55",1588,"ROS"
93.3,60,31.84637,-119.57154,"93.3 60",1899,"ROS"
93.3,70,31.51304,-120.24666,"93.3 70",3931,"ROS"
93.3,80,31.17971,-120.91935,"93.3 80",3848,"ROS"
90,80,31.75128,-121.31559,"90 80",3694,"ROS"
90,70,32.08462,-120.63872,"90 70",3806,"ROS"
90,60,32.41795,-119.95935,"90 60",880,"ROS"
90,53,32.65128,-119.48228,"90 53",1309,"ROS"
90,45,32.91795,-118.93551,"90 45",1695,"ROS"
90,37,33.18462,-118.38708,"90 37",1177,"ROS"
90,35,33.25128,-118.24971,"90 35",344,"ROS"
90,30,33.41795,-117.90582,"90 30",613,"ROS"
90,28,33.48462,-117.76808,"90 28",63,"ROS"
90,27.7,33.49462,-117.74741,"90 27.7",20,"SCCOOS"
88.5,30.1,33.67442,-118.08369,"88.5 30.1",20,"SCCOOS"
86.8,32.5,33.88887,-118.44423,"86.8 32.5",20,"SCCOOS"
86.7,33,33.88953,-118.49033,"86.7 33",57,"ROS"
86.7,35,33.82286,-118.62873,"86.7 35",662,"ROS"
85.4,35.8,34.02136,-118.83413,"85.4 35.8",20,"SCCOOS"
86.7,40,33.65619,-118.97425,"86.7 40",737,"ROS"
86.7,45,33.48953,-119.3191,"86.7 45",1644,"ROS"
86.7,50,33.32286,-119.66327,"86.7 50",78,"ROS"
86.7,55,33.15619,-120.00678,"86.7 55",1201,"ROS"
86.7,60,32.98953,-120.34964,"86.7 60",722,"ROS"
86.7,70,32.65619,-121.03339,"86.7 70",3771,"ROS"
86.7,80,32.32286,-121.71457,"86.7 80",4041,"ROS"
83.3,80,32.91176,-122.12858,"83.3 80",4180,"ROS"
83.3,70,33.24509,-121.44283,"83.3 70",3797,"ROS"
83.3,60,33.57842,-120.75443,"83.3 60",1397,"ROS"
83.3,55,33.74509,-120.40923,"83.3 55",999,"ROS"
83.3,51,33.87842,-120.13258,"83.3 51",102,"ROS"
83.3,42,34.17842,-119.50851,"83.3 42",134,"ROS"
83.3,40.6,34.22509,-119.41124,"83.3 40.6",34,"ROS"
83.3,39.4,34.26509,-119.32781,"83.3 39.4",20,"SCCOOS"
81.7,43.5,34.40555,-119.80037,"81.7 43.5",20,"SCCOOS"
81.8,46.9,34.2749,-120.02524,"81.8 46.9",578,"ROS"
80,50.5,34.46667,-120.48906,"80 50.5",20,"SCCOOS"
80,51,34.45,-120.5239,"80 51",73,"ROS"
80,55,34.31667,-120.80245,"80 55",780,"ROS"
80,60,34.15,-121.15,"80 60",2204,"ROS"
80,70,33.81667,-121.84304,"80 70",3631,"ROS"
80,80,33.48333,-122.53335,"80 80",4007,"ROS"
76.7,80,34.05491,-122.94109,"76.7 80",4235,"ROS"
76.7,70,34.38824,-122.24608,"76.7 70",4017,"ROS"
76.7,60,34.72158,-121.54828,"76.7 60",930,"ROS"
76.7,55,34.88824,-121.19831,"76.7 55",562,"ROS"
76.7,51,35.02158,-120.91782,"76.7 51",240,"ROS"
76.7,49,35.08824,-120.7774,"76.7 49",69,"ROS"
